year,month,day,team_1_code,team_2_code,team_1_goals,team_2_goals,tournament_code,host_code,team_1_rating_change,team_1_rating,team_2_rating,team_1_rank_change,team_2_rank_change,team_1_rank,team_2_rank,match_date,extracted_at,source
2026,3,31,NO,CH,0,0,F,,-4,1912,1889,0,−1,12,16,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,RU,ML,0,0,F,,-7,1776,1596,−1,−1,27,65,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,SM,AD,0,0,F,,4,836,1077,+2,+2,205,175,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,SN,GM,3,1,F,,1,1878,1423,0,−3,17,97,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,RS,SA,2,1,F,,3,1769,1568,+1,−1,28,71,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,SK,RO,2,0,F,,10,1673,1627,0,−2,53,60,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,ZA,PA,1,2,F,,-7,1524,1737,−1,+2,79,36,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,ES,EG,0,0,F,,-9,2165,1689,0,0,1,51,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,TG,NE,1,0,F,MA,12,1358,1393,+3,−2,115,103,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,UA,AL,1,0,F,ES,7,1767,1646,+1,−1,29,56,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,US,PT,0,2,F,,-9,1721,1984,−3,0,41,5,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,31,WA,EI,1,1,F,,-5,1698,1601,−1,−1,46,64,2026-03-31,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,30,DM,SX,0,0,CFS,DO,2,934,975,0,0,196,189,2026-03-30,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,30,GY,BZ,3,1,CFS,DO,11,1292,1073,+5,−2,139,178,2026-03-30,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,30,AZ,SL,1,1,FFS,,-4,1340,1348,0,+4,121,117,2026-03-30,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,30,CV,FI,1,1,FFS,NZ,0,1549,1542,0,0,73,75,2026-03-30,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,30,GA,TT,2,2,FFS,UZ,0,1401,1392,0,0,102,104,2026-03-30,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,30,ID,BG,0,1,FFS,,-14,1331,1475,−8,+1,126,86,2026-03-30,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,30,KE,GD,3,0,FFS,RW,11,1356,1099,+3,−2,115,174,2026-03-30,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,30,NZ,CL,4,1,FFS,,33,1585,1710,+6,−8,65,43,2026-03-30,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,30,RW,EE,2,0,FFS,,19,1336,1339,+6,−7,124,122,2026-03-30,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,30,KN,SB,4,2,FFS,ID,28,1029,1054,+4,−1,182,179,2026-03-30,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,30,UZ,VE,0,0,FFS,,-5,1727,1727,−1,+3,40,40,2026-03-30,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,30,CY,MD,3,2,F,,6,1301,1262,+2,0,136,147,2026-03-30,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,30,DE,GH,2,1,F,,1,1923,1505,0,0,11,82,2026-03-30,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,29,BQ,MF,0,3,CFS,,-22,836,1042,−3,+1,206,180,2026-03-29,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,29,VG,AI,4,0,CFS,KY,26,727,646,+3,−2,216,228,2026-03-29,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,29,KY,BS,1,0,CFS,,7,805,685,0,−2,209,223,2026-03-29,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,29,DO,CU,1,1,CFS,,-6,1284,1239,−1,+1,143,152,2026-03-29,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,29,SV,MQ,1,0,CFS,DO,15,1342,1312,+4,−6,123,133,2026-03-29,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,29,VC,BB,3,2,CFS,BQ,6,1141,898,+2,−1,164,200,2026-03-29,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,29,LS,SC,2,1,FQ,ZA,5,1205,853,0,0,158,203,2026-03-29,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,29,SS,DJ,0,1,FQ,,-35,1109,940,−9,+4,173,194,2026-03-29,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,29,AW,LI,4,1,FFS,RW,24,979,904,+4,−2,188,198,2026-03-29,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,29,TZ,MO,6,0,FFS,RW,1,1313,588,+2,0,131,233,2026-03-29,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,29,AM,BY,1,2,F,,-10,1379,1513,−2,+1,108,81,2026-03-29,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,29,FR,CO,3,1,F,US,11,2081,1975,0,0,3,5,2026-03-29,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,29,LT,GE,0,2,F,,-6,1290,1653,−3,+1,141,55,2026-03-29,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,28,KM,,0,0,FFS,KZ,-3,1371,1303,−2,+1,111,135,2026-03-28,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
